^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^2^|237849000|^1^|^51^|0|19673000|19673000|19818000|19818000|19818000|19818000|19818000|19818000|19818000|19818000|39959000|0|8.27|8.27|8.33|8.33|8.33|8.33|8.33|8.33|8.33|8.33|16.8|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^015117^|^015^|^08^|^WA^|^4719^|^2^|2497000|^1^|^52^|0|0|1640000|0|0|0|0|0|428500|0|0|428500|0|0|65.68|0|0|0|0|0|17.16|0|0|17.16|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^WA^|^4722^|^2^|789000|^1^|^52^|0|500000|0|0|0|0|289000|0|0|0|0|0|0|63.37|0|0|0|0|36.63|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6215^|^2^|1029000|^1^|^52^|0|0|0|0|0|149999|0|0|520000|0|359001|0|0|0|0|0|0|14.58|0|0|50.53|0|34.89|0|0|0|0|0|0|1|0|0|1|0|1|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^WA^|^4715^|^2^|1822032000|^1^|^52^|0|179192687|193426152|170416054|186269843|202993449|196544334|93989849|151951849|143535591|115659844|188052348|0|9.83|10.62|9.35|10.22|11.14|10.79|5.16|8.34|7.88|6.35|10.32|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^WA^|^4718^|^2^|21319000|^1^|^52^|0|300000|300000|300000|300000|6965499|300000|300000|3687999|1300000|300000|7265502|0|1.41|1.41|1.41|1.41|32.67|1.41|1.41|17.3|6.1|1.41|34.08|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^WA^|^4719^|^2^|8914000|^1^|^52^|0|0|0|7909000|502500|0|0|0|0|0|502500|0|0|0|0|88.73|5.64|0|0|0|0|0|5.64|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6212^|^2^|38725000|^1^|^52^|0|1734000|0|2725000|0|1111000|670999|18562998|0|2646000|1379999|9895004|0|4.48|0|7.04|0|2.87|1.73|47.94|0|6.83|3.56|25.55|0|1|0|1|0|1|1|1|0|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^CD^|^6213^|^2^|109137000|^1^|^52^|0|1371000|5100000|17749999|12592996|9867996|5640001|17315998|9867996|7825000|5817999|15988015|0|1.26|4.67|16.26|11.54|9.04|5.17|15.87|9.04|7.17|5.33|14.65|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^325237^|^015^|^08^|^WA^|^4715^|^2^|250000000|^1^|^53^|0|0|0|0|0|249360000|0|0|0|0|0|640000|0|0|0|0|0|99.74|0|0|0|0|0|0.26|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|^ ^|^ ^|0|0
