^2026^|^01^|^527336^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^10^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^10^|^2^|0|41|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^10^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^10^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^10^|^2^|0|9|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^10^|^2^|0|1|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^11^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^10^|^2^|0|1800|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^11^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^10^|^2^|0|4|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^11^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^10^|^2^|0|36|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
^2026^|^01^|^527336^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^10^|^2^|0|2|0|0|0|0|0|0|0|0|^ ^|0|^^|^^|^^|^^|^ ^|^00^|^0^|^ ^|^ ^|0|0
