^2026^|^01^|^527322^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^09^|^2^|^002^|^Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana^|0|^^|0|^^|^^|1344|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^09^|^2^|^003^|^Laporan Keuangan BUN^|0|^^|0|^^|^^|4|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^001^|^Kerumahtanggaan^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^994^|^Layanan Perkantoran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^002^|^Dukungan Pimpinan dan Keprotokoleran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBB^|^03^|^09^|^2^|^004^|^Gedung/Bangunan^|0|^^|0|^^|^^|160|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^09^|^2^|^Z36^|^Dokumen Pengelolaan Kinerja Organisasi^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^09^|^2^|^002^|^Kehumasan^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^09^|^2^|^001^|^Pembinaan/Edukasi Publik^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^09^|^2^|^994^|^Layanan Perkantoran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^09^|^2^|^004^|^Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4719^|^EBC^|^03^|^09^|^2^|^001^|^Pengembangan SDM^|0|^^|0|^^|^^|22|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^55^|^2^|^001^|^Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^55^|^2^|^001^|^Komunikasi dan Edukasi Implementasi Aplikasi^|0|^^|0|^^|^^|44|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^55^|^2^|^001^|^Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN^|0|^^|0|^^|^^|4|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^55^|^2^|^004^|^Konsultasi Pencairan Dana^|0|^^|0|^^|^^|9|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^55^|^2^|^001^|^Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan^|0|^^|0|^^|^^|9|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAE^|^03^|^55^|^2^|^009^|^Rekomendasi atas Kinerja Investasi Pemerintah^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^55^|^2^|^003^|^Reviu Belanja Pemerintah^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^55^|^2^|^002^|^Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana^|0|^^|0|^^|^^|1944|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^55^|^2^|^003^|^Laporan Keuangan BUN^|0|^^|0|^^|^^|4|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^55^|^2^|^001^|^Kerumahtanggaan^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^55^|^2^|^994^|^Layanan Perkantoran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^55^|^2^|^002^|^Dukungan Pimpinan dan Keprotokoleran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBB^|^03^|^55^|^2^|^002^|^Peralatan Fasilitas Perkantoran^|0|^^|0|^^|^^|10|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^55^|^2^|^Z36^|^Dokumen Pengelolaan Kinerja Organisasi^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^55^|^2^|^002^|^Kehumasan^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^55^|^2^|^001^|^Pembinaan/Edukasi Publik^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^55^|^2^|^994^|^Layanan Perkantoran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4719^|^EBA^|^03^|^55^|^2^|^004^|^Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527340^|^015^|^08^|^WA^|^4719^|^EBC^|^03^|^55^|^2^|^001^|^Pengembangan SDM^|0|^^|0|^^|^^|31|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^BMB^|^03^|^54^|^2^|^001^|^Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^54^|^2^|^001^|^Komunikasi dan Edukasi Implementasi Aplikasi^|0|^^|0|^^|^^|50|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^54^|^2^|^001^|^Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN^|0|^^|0|^^|^^|4|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^54^|^2^|^004^|^Konsultasi Pencairan Dana^|0|^^|0|^^|^^|9|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^54^|^2^|^001^|^Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan^|0|^^|0|^^|^^|10|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6213^|^FAE^|^03^|^54^|^2^|^009^|^Rekomendasi atas Kinerja Investasi Pemerintah^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^54^|^2^|^003^|^Reviu Belanja Pemerintah^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^54^|^2^|^002^|^Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana^|0|^^|0|^^|^^|2208|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^54^|^2^|^003^|^Laporan Keuangan BUN^|0|^^|0|^^|^^|4|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^54^|^2^|^001^|^Kerumahtanggaan^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^54^|^2^|^994^|^Layanan Perkantoran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^54^|^2^|^002^|^Dukungan Pimpinan dan Keprotokoleran^|0|^^|0|^^|^^|12|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4715^|^EBD^|^03^|^54^|^2^|^Z36^|^Dokumen Pengelolaan Kinerja Organisasi^|0|^^|0|^^|^^|2|0|^00^|^^|0|0
^2026^|^01^|^527357^|^015^|^08^|^WA^|^4718^|^BMB^|^03^|^54^|^2^|^002^|^Kehumasan^|0|^^|0|^^|^^|1|0|^00^|^^|0|0
