^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAC^|^03^|^09^|^2^|^001^|^100^|^ B^|^FGD dan Bimtek Transfer Keuangan Daerah^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAH^|^03^|^09^|^2^|^001^|^100^|^ A^|^TANPA SUB KOMPONEN^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^09^|^2^|^004^|^100^|^ A^|^Konsultasi^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^09^|^2^|^004^|^100^|^ B^|^Sosialisasi dan Bimbingan Teknis^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6212^|^FAL^|^03^|^09^|^2^|^004^|^100^|^ D^|^Pembinaan Pemda, TKD, dan Penandatanganan BAR^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6213^|^FAC^|^03^|^09^|^2^|^001^|^100^|^ A^|^Pembinaan Jabatan Fungsional Perbendaharaan^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6213^|^FAL^|^03^|^09^|^2^|^003^|^100^|^ A^|^Monev Pelaksanaan Anggaran^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^09^|^2^|^002^|^100^|^ A^|^Pelaksanaan PencairanPenarikanPengesahan Dana^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6214^|^FAL^|^03^|^09^|^2^|^002^|^100^|^ B^|^PenerbitanPersetujuanRekonsiliasi RekeningSKPPKonfirmasi Penerimaan Negara, dll^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^CD^|^6215^|^FAH^|^03^|^09^|^2^|^003^|^100^|^ A^|^Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^001^|^100^|^ A^|^TANPA SUB KOMPONEN^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^002^|^100^|^ A^|^TANPA SUB KOMPONEN^|^00^|^^|0|0
^2026^|^01^|^527322^|^015^|^08^|^WA^|^4715^|^EBA^|^03^|^09^|^2^|^994^|^002^|^ A^|^Keperluan Seharihari Perkantoran^|^00^|^^|0|0
